YEAR,LATITUDE,LONGITUDE,GENERAL_CAUSE,START_DATE,FUEL_TYPE
2024,55.199417,-112.400533,Agriculture Industry,2024-04-23 15:36:00,O1a
2024,56.766883,-111.72425,Recreation,2024-05-10 19:00:00,S1
2024,51.96134,-115.340712,Recreation,2024-05-20 15:33:00,C1
2024,58.712345,-111.188683,Government,2024-05-23 16:00:00,M2
2024,55.645667,-116.067867,Undetermined,2024-05-24 11:10:00,O1a
2024,58.7917,-111.0697,Incendiary,2024-05-25 16:10:00,C3
2024,50.066333,-114.154883,Recreation,2023-12-28 12:00:00,C2
2024,51.167705,-114.814873,Railroad,2024-01-29 16:45:00,O1a
2024,55.94523,-113.777329,Resident,2024-02-22 12:00:00,O1a
2024,58.57025,-117.762533,Forest Industry,2024-01-15 12:00:00,C2
2024,55.959767,-110.70445,Incendiary,2024-03-23 17:30:00,O1a
2024,55.59775,-116.609897,Resident,2024-03-24 13:00:00,O1a
2024,54.017318,-115.344552,Resident,2024-03-31 12:00:00,O1a
2024,53.64955,-116.0038,Incendiary,2024-04-05 09:00:00,S1
2024,54.651283,-111.887167,Resident,2024-04-14 21:15:00,O1a
2024,51.638417,-115.079833,Incendiary,2024-04-13 12:00:00,M1
2024,51.638567,-115.079767,Incendiary,2024-04-14 21:05:00,M1
2024,55.262783,-113.219283,Undetermined,2024-04-14 19:30:00,M1
2024,51.649833,-115.024733,Incendiary,2024-04-14 12:00:00,M1
2024,54.100283,-118.622883,Forest Industry,2023-11-29 12:00:00,S1
2024,55.055967,-118.6441,Incendiary,2024-04-07 19:45:00,O1b
2024,56.660633,-111.186267,Recreation,2024-04-07 14:30:00,O1a
2024,55.919983,-110.748567,Incendiary,2024-03-25 21:00:00,O1a
2024,55.972583,-110.696967,Incendiary,2024-03-26 12:00:00,O1b
2024,55.29425,-114.84225,Incendiary,2024-03-14 00:00:00,O1b
2024,55.928017,-110.721367,Incendiary,2024-03-26 13:00:00,S1
2024,55.915283,-110.73645,Incendiary,2024-04-01 02:50:00,O1b
2024,55.934517,-110.72,Resident,2024-04-23 10:45:00,O1a
2024,56.127533,-117.07345,Recreation,2024-01-15 12:00:00,C2
2024,57.944833,-117.4688,Resident,2024-03-29 12:00:00,O1a
2024,56.476,-117.274317,Agriculture Industry,2024-02-15 11:00:00,S2
2024,56.46565,-118.894783,Agriculture Industry,2024-02-18 15:00:00,S2
2024,56.272167,-117.3298,Resident,2024-04-10 14:15:00,D1
2024,57.508633,-112.5242,Resident,2024-04-16 15:00:00,C2
2024,51.638533,-115.079717,Incendiary,2024-04-14 12:00:00,M1
2024,58.459083,-114.55005,Recreation,2024-04-20 12:00:00,O1a
2024,52.381417,-115.746167,Forest Industry,2024-01-30 13:01:00,S1
2024,58.497272,-115.138068,Incendiary,2024-04-22 13:30:00,O1b
2024,58.711112,-118.727261,Incendiary,2024-04-22 14:00:00,O1a
2024,58.716221,-118.741587,Resident,2024-04-22 14:00:00,O1a
2024,58.720717,-118.746533,Resident,2024-04-22 14:30:00,O1a
2024,55.069343,-117.847353,Resident,2024-04-14 14:30:00,O1a
2024,55.02755,-118.593367,Incendiary,2024-04-14 15:20:00,M1
2024,54.818482,-114.570158,Undetermined,2024-04-13 17:50:00,M1
2024,56.26155,-117.355717,Undetermined,2024-04-27 20:00:00,O1a
2024,53.110302,-115.271633,Power Line Industry,2024-03-30 15:08:00,C2
2024,57.304802,-116.6731,Forest Industry,2023-11-15 13:30:00,M1
2024,55.933583,-110.72115,Incendiary,2024-04-21 09:00:00,D1
2024,56.642333,-111.037883,Resident,2024-04-21 13:00:00,C2
2024,55.94905,-110.707833,Incendiary,2024-04-21 14:53:00,S1
2024,55.591735,-116.657812,Incendiary,2024-04-22 11:25:00,D1
2024,53.684767,-115.32815,Agriculture Industry,2024-04-22 16:25:00,O1a
2024,56.804667,-111.44145,Recreation,2024-04-24 05:00:00,M1
2024,54.65555,-111.9216,Recreation,2023-12-20 12:00:00,M1
