#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-72.1,43.1,1
20250101,-67.3,43.1,1
20250101,-72.2,43.2,1
20250101,-72.1,43.2,2
20250101,-66.5,43.2,2
20250101,-72.1,43.3,1
20250101,-71.9,43.3,1
20250101,-72.5,43.4,1
20250101,-66.8,43.4,1
20250101,-72.6,43.5,1
20250101,-71.2,43.6,1
20250101,-67.7,43.7,1
20250101,-66.7,43.8,1
20250101,-66.6,44.4,1
20250101,-66.6,44.5,1
20250101,-66.5,44.5,1
20250101,-126.6,45.8,2
20250101,-126.3,45.9,1
20250101,-72.9,41.6,1
20250101,-72.7,41.6,2
20250101,-72.6,41.6,1
20250101,-61.3,41.6,3
20250101,-59.2,41.6,1
20250101,-59.1,41.6,2
20250101,-58.7,41.6,2
20250101,-58.6,41.6,3
20250101,-58.4,41.6,1
20250101,-73,41.7,1
20250101,-73.7,41.7,1
20250101,-73.2,41.7,1
20250101,-72.8,41.7,1
20250101,-72.7,41.7,1
20250101,-72.6,41.7,1
20250101,-68.4,41.7,1
20250101,-58.9,41.7,1
20250101,-73.9,41.8,1
20250101,-73.6,41.8,1
20250101,-73.1,41.8,1
20250101,-72.8,41.8,6
20250101,-72.6,41.8,1
20250101,-71.5,41.8,1
20250101,-68.4,41.8,1
20250101,-67.8,41.8,2
20250101,-61.3,41.8,1
20250101,-58.3,41.8,2
20250101,-73,41.9,1
20250101,-74.3,41.9,1
20250101,-74.1,41.9,1
20250101,-73.8,41.9,1
20250101,-73.7,41.9,1
20250101,-73.3,41.9,1
20250101,-71.9,41.9,1
20250101,-71.3,41.9,1
20250101,-68.8,41.9,1
20250101,-68.7,41.9,2
20250101,-67.8,41.9,2
20250101,-58.6,41.9,1
20250101,-58.5,41.9,2
20250101,-73.9,42.1,1
20250101,-73.1,42.1,1
20250101,-71.5,42.1,1
20250101,-68.8,42.1,1
20250101,-68.3,42.1,1
20250101,-68.2,42.1,3
20250101,-68.1,42.1,1
20250101,-58.6,42.1,1
20250101,-58.5,42.1,1
20250101,-57.9,42.1,1
20250101,-68,42.2,1
20250101,-74.2,42.2,1
20250101,-71.6,42.2,1
20250101,-68.4,42.2,1
20250101,-71.6,42.3,2
20250101,-67.8,42.3,1
20250101,-67.7,42.3,1
20250101,-67.7,42.5,1
20250101,-73.6,42.6,1
20250101,-68.8,42.6,1
20250101,-73.5,42.7,1
20250101,-73,42.9,1
20250101,-73.1,42.9,1
20250101,-72,43.1,1
20250101,-59.2,41.2,8
20250101,-59.1,41.2,2
20250101,-73,41.3,3
20250101,-59,41.3,2
20250101,-73.7,41.3,2
20250101,-73.5,41.3,3
20250101,-73.4,41.3,3
20250101,-73.2,41.3,3
20250101,-73.1,41.3,4
20250101,-72.8,41.3,1
20250101,-72.7,41.3,2
20250101,-71.9,41.3,1
20250101,-70.5,41.3,1
20250101,-70.3,41.3,1
20250101,-66.9,41.3,1
20250101,-61.9,41.3,1
20250101,-61.8,41.3,2
20250101,-61.7,41.3,7
20250101,-61.6,41.3,2
20250101,-61.5,41.3,1
20250101,-59.2,41.3,1
20250101,-59.1,41.3,6
20250101,-74,41.4,1
20250101,-73,41.4,1
20250101,-72,41.4,1
20250101,-60,41.4,1
20250101,-73.5,41.4,1
20250101,-73.3,41.4,1
20250101,-73.2,41.4,1
20250101,-73.1,41.4,4
20250101,-72.9,41.4,1
20250101,-72.8,41.4,4
20250101,-72.7,41.4,2
20250101,-71.7,41.4,1
20250101,-71.6,41.4,1
20250101,-71.5,41.4,2
20250101,-61.7,41.4,1
20250101,-61.6,41.4,5
20250101,-61.5,41.4,4
20250101,-61.4,41.4,2
20250101,-61.3,41.4,1
20250101,-59.5,41.4,1
20250101,-59.1,41.4,1
20250101,-58.9,41.4,2
20250101,-73,41.5,5
20250101,-73.5,41.5,1
20250101,-73.3,41.5,2
20250101,-73.2,41.5,1
20250101,-72.9,41.5,2
20250101,-72.8,41.5,2
20250101,-72.7,41.5,5
20250101,-72.6,41.5,1
20250101,-72.1,41.5,1
20250101,-70.4,41.5,1
20250101,-61.3,41.5,1
20250101,-59.3,41.5,1
20250101,-58.9,41.5,2
20250101,-58.8,41.5,1
20250101,-58.7,41.5,6
20250101,-58.4,41.5,1
20250101,-68,41.6,1
20250101,-73.5,41.6,1
20250101,-73.4,41.6,2
20250101,-73.1,41.6,1
20250101,-66.7,40.9,1
20250101,-66.6,40.9,1
20250101,-63.9,40.9,1
20250101,-62.4,40.9,2
20250101,-62.3,40.9,2
20250101,-62.2,40.9,8
20250101,-62.1,40.9,2
20250101,-61.8,40.9,2
20250101,-61.7,40.9,1
20250101,-59.4,40.9,1
20250101,-59.3,40.9,1
20250101,-74,41.1,1
20250101,-73,41.1,16
20250101,-72,41.1,1
20250101,-62,41.1,1
20250101,-74.1,41.1,1
20250101,-73.4,41.1,3
20250101,-73.3,41.1,4
20250101,-73.2,41.1,1
20250101,-72.9,41.1,3
20250101,-72.7,41.1,2
20250101,-72.6,41.1,1
20250101,-71.9,41.1,1
20250101,-71.1,41.1,2
20250101,-70.5,41.1,1
20250101,-66.8,41.1,1
20250101,-66.7,41.1,1
20250101,-65.4,41.1,1
20250101,-62.3,41.1,2
20250101,-62.1,41.1,1
20250101,-61.9,41.1,1
20250101,-61.8,41.1,1
20250101,-61.7,41.1,2
20250101,-61.6,41.1,1
20250101,-61.5,41.1,1
20250101,-61.4,41.1,1
20250101,-59.8,41.1,3
20250101,-59.4,41.1,4
20250101,-59.3,41.1,2
20250101,-59.2,41.1,1
20250101,-73,41.2,1
20250101,-74.1,41.2,2
20250101,-73.9,41.2,1
20250101,-73.8,41.2,1
20250101,-73.7,41.2,1
20250101,-73.5,41.2,1
20250101,-73.4,41.2,1
20250101,-73.3,41.2,1
20250101,-73.2,41.2,2
20250101,-73.1,41.2,1
20250101,-72.9,41.2,3
20250101,-72.8,41.2,1
20250101,-72.7,41.2,3
20250101,-71.9,41.2,2
20250101,-70.6,41.2,1
20250101,-65.4,41.2,1
20250101,-61.9,41.2,2
20250101,-61.8,41.2,4
20250101,-61.7,41.2,2
20250101,-61.5,41.2,1
20250101,-61.4,41.2,2
20250101,-59.9,41.2,1
20250101,-59.4,41.2,4
20250101,-59.3,41.2,4
20250101,-61.9,40.7,1
20250101,-61.4,40.7,1
20250101,-60.5,40.7,2
20250101,-60.4,40.7,4
20250101,-60.3,40.7,1
20250101,-60.2,40.7,2
20250101,-60.1,40.7,1
20250101,-59.6,40.7,1
20250101,-74,40.8,1
20250101,-73,40.8,5
20250101,-71,40.8,1
20250101,-62,40.8,1
20250101,-75.4,40.8,1
20250101,-74.9,40.8,2
20250101,-74.2,40.8,1
20250101,-73.7,40.8,1
20250101,-73.6,40.8,8
20250101,-73.5,40.8,8
20250101,-73.4,40.8,3
20250101,-73.3,40.8,3
20250101,-73.2,40.8,6
20250101,-73.1,40.8,8
20250101,-72.9,40.8,1
20250101,-72.7,40.8,1
20250101,-71.9,40.8,1
20250101,-71.7,40.8,1
20250101,-71.5,40.8,1
20250101,-71.1,40.8,1
20250101,-70.7,40.8,1
20250101,-70.6,40.8,1
20250101,-67.3,40.8,1
20250101,-66.8,40.8,2
20250101,-66.7,40.8,1
20250101,-62.6,40.8,1
20250101,-62.5,40.8,2
20250101,-62.4,40.8,2
20250101,-62.3,40.8,2
20250101,-61.9,40.8,3
20250101,-61.8,40.8,2
20250101,-61.2,40.8,1
20250101,-61.1,40.8,1
20250101,-60.5,40.8,1
20250101,-60.4,40.8,1
20250101,-60.3,40.8,1
20250101,-59.6,40.8,1
20250101,-59.5,40.8,1
20250101,-59.4,40.8,1
20250101,-73,40.9,19
20250101,-62,40.9,3
20250101,-74.1,40.9,1
20250101,-73.9,40.9,1
20250101,-73.7,40.9,1
20250101,-73.6,40.9,1
20250101,-73.5,40.9,5
20250101,-73.4,40.9,2
20250101,-73.3,40.9,3
20250101,-73.2,40.9,3
20250101,-73.1,40.9,8
20250101,-72.9,40.9,1
20250101,-72.7,40.9,1
20250101,-71.8,40.9,1
20250101,-71.4,40.9,1
20250101,-67.5,40.9,1
20250101,-66.8,40.9,1
20250101,-60.5,40.5,3
20250101,-60.4,40.5,1
20250101,-60.1,40.5,1
20250101,-59.9,40.5,1
20250101,-59.5,40.5,1
20250101,-74,40.6,1
20250101,-72,40.6,1
20250101,-64,40.6,1
20250101,-62,40.6,1
20250101,-75.6,40.6,1
20250101,-75.3,40.6,1
20250101,-74.2,40.6,1
20250101,-73.9,40.6,1
