#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Mar  5 11:39:27 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250201,-56.6,41.9,1
20250201,-67.2,39.9,1
20250201,-67.1,39.9,1
20250201,-67,40.1,2
20250201,-68.7,40.1,1
20250201,-67.4,40.1,1
20250201,-67.2,40.1,2
20250201,-67.1,40.1,3
20250201,-66.9,40.1,1
20250201,-66.8,40.1,1
20250201,-66.5,40.1,1
20250201,-67,40.2,2
20250201,-69.4,40.2,1
20250201,-68.4,40.2,2
20250201,-66.8,40.2,2
20250201,-66.7,40.2,2
20250201,-66.6,40.2,1
20250201,-66.5,40.2,1
20250201,-66.4,40.2,2
20250201,-66.3,40.2,2
20250201,-66.2,40.2,1
20250201,-65.9,40.2,4
20250201,-66,40.3,2
20250201,-68.8,40.3,3
20250201,-68.7,40.3,2
20250201,-68.5,40.3,1
20250201,-68.3,40.3,1
20250201,-66.8,40.3,1
20250201,-66.7,40.3,1
20250201,-66.6,40.3,1
20250201,-66.4,40.3,1
20250201,-66.1,40.3,1
20250201,-65.9,40.3,2
20250201,-65.7,40.3,1
20250201,-66,40.4,3
20250201,-68.6,40.4,1
20250201,-66.7,40.4,1
20250201,-65.5,40.4,1
20250201,-65.3,40.4,1
20250201,-65.2,40.4,1
20250201,-65.1,40.4,1
20250201,-65,40.5,1
20250201,-66.1,40.5,1
20250201,-65.9,40.5,2
20250201,-65.8,40.5,2
20250201,-64.7,40.5,1
20250201,-66.7,40.6,1
20250201,-65.4,40.6,1
20250201,-64.5,40.6,1
20250201,-64.7,40.7,1
20250201,-64.4,40.7,1
20250201,-64.2,40.7,2
20250201,-64.1,40.7,1
20250201,-64,40.8,1
20250201,-64.3,40.8,2
20250201,-63.8,40.8,1
20250201,-63.7,40.8,1
20250201,-62,40.9,1
20250201,-57,40.9,1
20250201,-61.1,41.2,1
20250201,-61.2,41.3,1
20250201,-60.9,41.3,1
20250201,-57.4,41.5,1
20250201,-57.3,41.5,1
20250201,-56.6,41.8,1
20250201,-71.3,39.4,1
20250201,-71.1,39.4,1
20250201,-69.5,39.4,1
20250201,-69.3,39.4,2
20250201,-69.2,39.4,1
20250201,-69.1,39.4,2
20250201,-68.9,39.4,1
20250201,-68.8,39.4,1
20250201,-68.7,39.4,1
20250201,-68.6,39.4,2
20250201,-71,39.5,2
20250201,-70.9,39.5,1
20250201,-70.7,39.5,2
20250201,-68.9,39.5,3
20250201,-68.8,39.5,6
20250201,-68.7,39.5,4
20250201,-68.6,39.5,1
20250201,-68.5,39.5,1
20250201,-68.4,39.5,1
20250201,-68.3,39.5,1
20250201,-68.2,39.5,2
20250201,-68.1,39.5,2
20250201,-68,39.6,1
20250201,-72.1,39.6,1
20250201,-70.7,39.6,2
20250201,-70.5,39.6,1
20250201,-69.1,39.6,1
20250201,-68.8,39.6,1
20250201,-68.7,39.6,1
20250201,-68.6,39.6,2
20250201,-68.5,39.6,4
20250201,-68.4,39.6,1
20250201,-68.3,39.6,2
20250201,-67.9,39.6,2
20250201,-69,39.7,1
20250201,-68,39.7,3
20250201,-70.4,39.7,2
20250201,-68.9,39.7,1
20250201,-68.6,39.7,1
20250201,-68.5,39.7,2
20250201,-68.4,39.7,2
20250201,-68.3,39.7,3
20250201,-68.2,39.7,6
20250201,-68.1,39.7,4
20250201,-67.9,39.7,1
20250201,-67.8,39.7,1
20250201,-67.7,39.7,1
20250201,-68,39.8,4
20250201,-68.4,39.8,1
20250201,-68.1,39.8,2
20250201,-67.9,39.8,5
20250201,-67.8,39.8,3
20250201,-67.7,39.8,2
20250201,-67.5,39.8,1
20250201,-67.4,39.8,1
20250201,-67.2,39.8,1
20250201,-63.9,39.8,1
20250201,-69.5,39.9,1
20250201,-67.8,39.9,2
20250201,-67.7,39.9,2
20250201,-67.6,39.9,4
20250201,-67.5,39.9,6
20250201,-67.4,39.9,5
20250201,-67.3,39.9,1
20250201,-69.8,38.8,1
20250201,-73.5,38.9,1
20250201,-73.4,38.9,1
20250201,-73.3,38.9,1
20250201,-72.8,38.9,2
20250201,-72.6,38.9,1
