#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Mar 19 11:38:33 EDT 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250301,-68.3,38.9,5
20250301,-68.2,38.9,5
20250301,-68.1,38.9,8
20250301,-68,39.1,5
20250301,-68.5,39.1,1
20250301,-68.4,39.1,4
20250301,-68.3,39.1,2
20250301,-68.2,39.1,1
20250301,-67.9,39.1,6
20250301,-67.8,39.1,2
20250301,-66.9,39.1,1
20250301,-68,39.2,1
20250301,-68.7,39.2,1
20250301,-68.2,39.2,4
20250301,-68.1,39.2,2
20250301,-67.9,39.2,3
20250301,-67.8,39.2,2
20250301,-67.6,39.2,1
20250301,-67.3,39.2,1
20250301,-68,39.3,1
20250301,-68.1,39.3,1
20250301,-67.9,39.3,3
20250301,-67.8,39.3,2
20250301,-67.5,39.3,1
20250301,-68,39.4,1
20250301,-67.9,39.4,1
20250301,-67.7,39.4,2
20250301,-67.5,39.4,2
20250301,-67.4,39.4,2
20250301,-67.3,39.4,2
20250301,-70.5,39.5,1
20250301,-67.8,39.5,1
20250301,-67.7,39.5,2
20250301,-67.6,39.5,1
20250301,-67.5,39.5,1
20250301,-67.4,39.5,1
20250301,-67.3,39.5,3
20250301,-67.2,39.5,2
20250301,-67,39.6,1
20250301,-67.7,39.6,1
20250301,-67.1,39.6,1
20250301,-67,39.7,1
20250301,-67.2,39.7,1
20250301,-67.1,39.7,1
20250301,-67,39.8,1
20250301,-66.9,39.8,1
20250301,-67.5,40.3,1
20250301,-81.9,40.9,1
20250301,-49,41.2,1
20250301,-49.1,41.3,1
20250301,-79.9,42.2,1
20250301,-78.3,42.7,1
20250301,-80.1,43.1,1
20250301,-80,43.3,1
20250301,-79.4,43.7,1
20250301,-45.9,44.7,1
20250301,-64.9,45.7,3
20250301,-69.9,38.4,2
20250301,-69.8,38.4,8
20250301,-69.7,38.4,22
20250301,-69.6,38.4,36
20250301,-69.5,38.4,29
20250301,-69.4,38.4,24
20250301,-69.3,38.4,21
20250301,-69.2,38.4,4
20250301,-69.1,38.4,4
20250301,-69,38.5,5
20250301,-69.9,38.5,1
20250301,-69.8,38.5,2
20250301,-69.7,38.5,1
20250301,-69.6,38.5,10
20250301,-69.5,38.5,25
20250301,-69.4,38.5,21
20250301,-69.3,38.5,20
20250301,-69.2,38.5,35
20250301,-69.1,38.5,11
20250301,-68.9,38.5,2
20250301,-68.8,38.5,3
20250301,-69,38.6,24
20250301,-69.6,38.6,6
20250301,-69.5,38.6,1
20250301,-69.4,38.6,6
20250301,-69.3,38.6,24
20250301,-69.2,38.6,37
20250301,-69.1,38.6,34
20250301,-68.9,38.6,12
20250301,-68.8,38.6,7
20250301,-68.7,38.6,5
20250301,-68.6,38.6,4
20250301,-69,38.7,11
20250301,-69.5,38.7,3
20250301,-69.4,38.7,1
20250301,-69.3,38.7,1
20250301,-69.2,38.7,8
20250301,-69.1,38.7,16
20250301,-68.9,38.7,35
20250301,-68.8,38.7,25
20250301,-68.7,38.7,20
20250301,-68.6,38.7,7
20250301,-68.5,38.7,4
20250301,-68.4,38.7,3
20250301,-69,38.8,8
20250301,-69.9,38.8,1
20250301,-69.3,38.8,1
20250301,-69.1,38.8,8
20250301,-68.9,38.8,5
20250301,-68.8,38.8,3
20250301,-68.7,38.8,10
20250301,-68.6,38.8,21
20250301,-68.5,38.8,10
20250301,-68.4,38.8,8
20250301,-68.3,38.8,7
20250301,-68.2,38.8,2
20250301,-68.1,38.8,2
20250301,-68,38.9,5
20250301,-68.9,38.9,2
20250301,-68.8,38.9,3
20250301,-68.7,38.9,5
20250301,-68.6,38.9,5
20250301,-68.5,38.9,6
20250301,-68.4,38.9,13
20250301,-71.2,37.6,1
20250301,-71.1,37.6,3
20250301,-70.9,37.6,3
20250301,-70.8,37.6,10
20250301,-70.7,37.6,13
20250301,-70.6,37.6,3
20250301,-71,37.7,4
20250301,-71.7,37.7,1
20250301,-70.9,37.7,1
20250301,-70.8,37.7,11
20250301,-70.7,37.7,17
20250301,-70.6,37.7,14
20250301,-70.5,37.7,6
20250301,-70.4,37.7,2
20250301,-70.1,37.7,1
20250301,-70.9,37.8,4
20250301,-70.8,37.8,1
20250301,-70.7,37.8,7
20250301,-70.6,37.8,29
20250301,-70.5,37.8,24
20250301,-70.4,37.8,12
20250301,-70.3,37.8,3
20250301,-70.1,37.8,1
20250301,-70,37.9,1
20250301,-70.6,37.9,3
20250301,-70.5,37.9,30
20250301,-70.4,37.9,31
20250301,-70.3,37.9,33
20250301,-70.2,37.9,10
20250301,-70.1,37.9,4
20250301,-70,38.1,49
20250301,-70.4,38.1,4
20250301,-70.3,38.1,5
20250301,-70.2,38.1,30
20250301,-70.1,38.1,37
20250301,-69.9,38.1,22
20250301,-69.8,38.1,6
20250301,-69.7,38.1,1
20250301,-70,38.2,24
20250301,-70.4,38.2,1
20250301,-70.3,38.2,3
20250301,-70.2,38.2,1
20250301,-70.1,38.2,12
20250301,-69.9,38.2,20
20250301,-69.8,38.2,32
20250301,-69.7,38.2,21
20250301,-69.6,38.2,7
20250301,-69.5,38.2,3
20250301,-70,38.3,4
20250301,-70.3,38.3,3
20250301,-70.2,38.3,7
20250301,-70.1,38.3,1
20250301,-69.9,38.3,24
20250301,-69.8,38.3,21
20250301,-69.7,38.3,14
20250301,-69.6,38.3,20
20250301,-69.5,38.3,13
20250301,-69.4,38.3,10
20250301,-69.3,38.3,8
20250301,-69.2,38.3,1
